project_short_name,case_barcode,sample_barcode,sample_type_name,CD274_counts,PDCD1LG2_counts,PDCD1_counts,HLA_A_counts,HLA_B_counts,HLA_C_counts,B2M_counts,GJA1_counts,GJB2_counts,GJA5_counts,GJB6_counts,ARNTL_counts,CLOCK_counts,PER1_counts,PER2_counts,CRY1_counts,CRY2_counts,MYC_counts,TP53_counts,CDH1_counts,VIM_counts
TCGA-LUAD,TCGA-44-6778,TCGA-44-6778-01A,Primary Tumor,1286,590,285,52630,86122,54495,185128,3255,149,1869,10,599,1680,3373,1153,1203,1503,3973,2228,7054,15695
TCGA-LUAD,TCGA-44-6779,TCGA-44-6779-01A,Primary Tumor,519,507,176,99123,152403,42339,195934,1918,1674,335,5,480,924,4220,2417,257,1902,3249,2419,10438,7935
TCGA-LUAD,TCGA-44-7659,TCGA-44-7659-01A,Primary Tumor,280,52,37,37431,55483,34844,79446,772,424,175,130,390,1880,5806,1578,758,2255,1283,1869,8716,8425
TCGA-LUAD,TCGA-44-7660,TCGA-44-7660-01A,Primary Tumor,637,193,190,48180,55277,30774,77596,1175,553,540,14,487,1504,3314,1677,1886,1104,5584,1673,12923,10645
TCGA-LUAD,TCGA-44-7661,TCGA-44-7661-01A,Primary Tumor,7956,954,261,116811,157892,125590,245203,15562,15244,1025,488,1266,4209,3897,1146,1446,1861,8459,2085,42880,70231
TCGA-LUAD,TCGA-44-7662,TCGA-44-7662-01A,Primary Tumor,1455,666,274,104467,192350,157587,226285,9887,4245,2588,49,987,3027,4934,1489,1586,1464,3812,2500,52477,37451
TCGA-LUAD,TCGA-44-7667,TCGA-44-7667-01A,Primary Tumor,217,188,47,25257,30423,27564,51651,19110,192,1188,3,250,2294,3732,1966,2277,1640,451,6954,8274,13766
TCGA-LUAD,TCGA-44-7669,TCGA-44-7669-01A,Primary Tumor,741,412,228,58614,95357,67193,169200,5297,73,733,8,1083,2514,7086,3487,3193,2808,7624,3808,14854,18184
TCGA-LUAD,TCGA-44-7670,TCGA-44-7670-01A,Primary Tumor,552,128,320,81040,89511,120940,96900,7942,1164,248,35,629,1808,5911,3514,2409,2322,5752,3658,36791,15106
TCGA-LUAD,TCGA-44-7671,TCGA-44-7671-01A,Primary Tumor,160,136,34,24747,28085,32682,90436,7925,2626,1344,40,1150,4802,17326,5133,1678,7844,4529,6119,25500,16860
TCGA-LUAD,TCGA-44-7672,TCGA-44-7672-01A,Primary Tumor,1118,452,531,177906,273710,195007,252497,20228,3095,1619,22,864,2050,5260,1195,1206,2229,2241,4028,62327,38193
